W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,8.36,0.39,4863.82,110.7,454.77,16.17,504.03,12.64,72
""
0.1,0.068,8.29,0.46,4888.32,175.99,458.25,14.38,500.67,14.84
0.147,0.068,8.07,0.28,4953.41,79.57,447.09,11.09,497.67,17.04
0.193,0.068,8.51,0.17,4853.38,78.31,455.98,15.68,505.0,7.68
0.24,0.068,8.45,0.41,4782.72,83.57,446.89,11.03,508.78,11.21
0.287,0.068,8.43,0.45,4839.83,81.94,458.69,12.1,505.67,13.8
0.333,0.068,8.47,0.36,4805.19,61.51,455.78,16.1,506.33,10.97
0.38,0.068,8.56,0.36,4833.36,103.3,465.13,16.11,506.67,11.79
1.0,1.0,8.07,0.32,4954.33,71.89,450.36,25.39,501.44,12.78
""
